 main              |    2.55 |     2.02 |    4.19 |    2.56 |                   
  cli.ts           |    1.78 |     2.48 |    3.53 |    1.66 | 53-112,145-1953   
  daemon.ts        |   93.75 |      100 |      75 |   93.75 | 30                
 main/ipc          |   90.85 |    77.08 |   94.79 |   94.21 |                   
  ...leaner.ipc.ts |   90.32 |    66.66 |   85.71 |   90.32 | 54-56             
  benchmark.ipc.ts |   84.53 |    57.46 |      96 |   97.35 | 41,225,228,237    
  ...leaner.ipc.ts |   99.24 |    86.48 |     100 |   99.23 | 260               
  ...uditor.ipc.ts |   77.77 |       60 |   66.66 |   77.77 | 13-15,26,54-55    
  ...leaner.ipc.ts |   91.17 |    80.28 |   94.73 |   94.05 | ...42,598-609,660 
  ...imizer.ipc.ts |   89.72 |    73.13 |     100 |   90.15 | ...77,178-179,248 
  debloater.ipc.ts |   96.29 |    89.39 |     100 |    97.5 | 1299-1300,1395    
  ...alyzer.ipc.ts |   87.67 |    74.25 |   94.44 |   89.36 | ...75-476,561,563 
  disk-trim.ipc.ts |   92.55 |    75.77 |   97.67 |   94.92 | ...43-544,791-792 
  ...anager.ipc.ts |   90.41 |    65.19 |   96.42 |   91.72 | ...83,405,763-764 
  ...finder.ipc.ts |   96.19 |     91.8 |   93.75 |   98.33 | 84-85,226         
  ...leaner.ipc.ts |   90.97 |    76.04 |   92.85 |   93.18 | ...19,151-152,288 
  ...redder.ipc.ts |   85.84 |     63.2 |     100 |   91.53 | ...81,396-397,444 
  ...-audit.ipc.ts |    98.1 |    91.97 |     100 |    98.5 | 48,428            
  game-mode.ipc.ts |   82.87 |    69.81 |   91.04 |   92.54 | ...1283,1286-1287 
  ...leaner.ipc.ts |   79.16 |    55.35 |   72.72 |   86.82 | ...74,118,268-290 
  index.ts         |   83.82 |     62.5 |   83.33 |   84.03 | 204-243,263       
  ...finder.ipc.ts |   89.71 |    77.14 |   91.66 |   93.81 | ...,74-75,110-111 
  ...canner.ipc.ts |   99.52 |    95.12 |   97.67 |     100 | 76,161,314,376    
  ...leanup.ipc.ts |   97.88 |    92.95 |     100 |   99.24 | 65                
  ...onitor.ipc.ts |   87.14 |    60.71 |   81.81 |   89.55 | 25-28,75,78-79    
  ...shield.ipc.ts |   93.54 |    83.33 |     100 |   93.54 | 45,65             
  ...-point.ipc.ts |   93.33 |     87.5 |     100 |   93.33 | 51,69,91          
  ...leaner.ipc.ts |   89.51 |    73.86 |     100 |   98.37 | 69,264            
  ...anager.ipc.ts |   84.12 |    74.24 |   93.18 |   90.87 | ...45,530,607-613 
  ...leaner.ipc.ts |   87.95 |    64.58 |   78.57 |      88 | ...97,124,157-159 
  ...import.ipc.ts |   96.49 |    85.71 |     100 |     100 | ...7-38,74-77,100 
  ...ules-store.ts |   92.85 |    85.71 |     100 |   92.15 | 54-55,64,98       
  ...tweaks.ipc.ts |   88.54 |    78.26 |   96.55 |   91.21 | ...1655,1658-1659 
  ...leaner.ipc.ts |   90.32 |    63.88 |      90 |    93.1 | 21-23,212-213,227 
 main/platform     |   71.42 |       50 |     100 |   83.33 |                   
  index.ts         |   71.42 |       50 |     100 |   83.33 | 14                
 ...platform/win32 |   91.73 |     78.2 |   95.23 |   93.71 |                   
  network.ts       |   81.61 |    73.43 |   69.23 |   86.95 | 153,221,229-273   
  paths.ts         |   96.15 |    57.89 |     100 |      96 | 52                
  security.ts      |    95.4 |    83.11 |     100 |   94.93 | 56,159,194,247    
 main/rules        |   76.59 |    39.28 |   89.28 |   77.77 |                   
  loader.ts        |   76.59 |    39.28 |   89.28 |   77.77 | 239-250           
 main/services     |   84.33 |    70.49 |   91.19 |   86.97 |                   
  ...up.service.ts |   83.56 |    66.66 |   94.44 |   84.05 | ...56,170,178-179 
  ...or.service.ts |   99.34 |    94.64 |   96.42 |   99.31 | 280               
  ...-evaluator.ts |   90.66 |    80.24 |     100 |   92.03 | ...19-221,255-256 
  exec-utf8.ts     |    87.5 |    85.18 |   72.22 |   90.69 | ...52,155,234,277 
  ...or.service.ts |   96.66 |    66.66 |     100 |     100 | 97-99             
  file-utils.ts    |   98.52 |       89 |     100 |     100 | ...91,319,379-387 
  ...er.service.ts |   94.44 |    83.33 |      80 |   94.11 | 51                
  game-detector.ts |   76.19 |    48.27 |   88.88 |    80.7 | ...37-140,161-172 
  history-store.ts |   95.45 |      100 |     100 |      95 | 19                
  ...validation.ts |   73.59 |    74.85 |   86.66 |   83.91 | ...48-255,258-292 
  license-store.ts |   87.83 |    73.68 |    92.3 |   95.23 | 21-22,120         
  logger.ts        |   89.74 |    92.85 |   88.88 |   89.47 | 8,46-51           
  ...er.service.ts |   61.38 |    42.48 |   72.41 |   64.21 | ...2249,2329,2351 
  ...-optimizer.ts |    92.1 |    66.66 |     100 |   94.59 | 99,127            
  ...er.service.ts |   91.66 |    77.77 |     100 |   91.66 | 50,80             
  pe-parser.ts     |   83.72 |    78.02 |     100 |   93.33 | ...50-151,156-157 
  perf-monitor.ts  |   88.72 |    75.96 |   88.88 |   91.05 | ...67-276,311-312 
  ...ld.service.ts |   98.89 |    96.61 |   98.15 |   99.42 | 1074,1081         
  ...ninstaller.ts |   97.67 |    88.34 |     100 |     100 | ...97,400-426,533 
  ...er.service.ts |   92.16 |    73.59 |   96.29 |   94.46 | ...1471,1513-1518 
  ...te-license.ts |   86.72 |    68.11 |   90.47 |   87.12 | ...,93-96,100-102 
  scheduler.ts     |   39.53 |    35.71 |      50 |   41.44 | ...68-269,272-274 
  ...ings-store.ts |   97.29 |    80.55 |     100 |   99.03 | 142               
  ...re-updater.ts |   74.51 |    61.08 |   76.14 |    77.8 | ...1759,1882-1884 
  ...ne.service.ts |   81.57 |     62.5 |   91.66 |   82.35 | 32-36,47,99-100   
  ...tory-store.ts |   95.23 |    93.75 |     100 |      95 | 26                
  ...-leftovers.ts |    94.7 |       80 |     100 |   98.44 | 79,103            
  ...er.service.ts |   94.37 |    90.06 |     100 |   94.09 | ...47,665,674,683 
  yara-engine.ts   |   92.21 |    81.69 |   96.96 |   91.83 | ...18-220,242-243 
  ...ules-store.ts |   74.18 |    66.44 |   75.86 |   78.73 | ...76,495,534-564 
 preload           |   98.74 |      100 |   98.71 |   99.57 |                   
  index.ts         |   98.74 |      100 |   98.71 |   99.57 | 384               
 renderer/src/lib  |    90.9 |     91.3 |     100 |   88.57 |                   
 ...rer/src/stores |   89.77 |     81.9 |   90.51 |   88.88 |                   
  ...date-store.ts |   88.88 |      100 |   71.42 |     100 |                   
  ...mark-store.ts |    92.3 |      100 |      80 |   91.66 | 23                
  ...ance-store.ts |   81.25 |      100 |   69.23 |   80.64 | 32-33,40,53,72,83 
  ...ater-store.ts |   91.66 |      100 |    90.9 |   89.47 | 42,44             
  ...gent-store.ts |   92.85 |       65 |     100 |     100 | 35,51-96          
  driver-store.ts  |   97.43 |      100 |   95.74 |   96.92 | 145,183           
  ...cate-store.ts |   93.87 |       90 |   91.66 |   94.87 | 70,73             
  ...mode-store.ts |   88.23 |    71.42 |   75.75 |   87.87 | 160-169           
  history-store.ts |   94.44 |      100 |   83.33 |   93.75 | 48                
  malware-store.ts |   47.75 |    64.28 |   59.37 |   44.91 | ...46,406,431-588 
  memory-store.ts  |   84.61 |       50 |   57.14 |   83.33 | 47,56,67-68       
  perf-store.ts    |   85.29 |       75 |   81.81 |   87.09 | 47-49,99,107      
  privacy-store.ts |   96.87 |      100 |    92.3 |   96.77 | 54                
  ...stry-store.ts |   96.66 |    93.75 |   93.33 |   95.91 | 54,127            
  scan-store.ts    |   95.23 |    86.36 |   91.17 |   96.29 | 84-86             
  service-store.ts |   95.91 |     87.5 |   96.29 |   97.56 | 116               
  updater-store.ts |   96.42 |     62.5 |   93.18 |   95.83 | 86-87             
  ...lity-store.ts |   96.87 |      100 |    92.3 |   96.77 | 61                
  ...eaks-store.ts |   96.36 |      100 |   88.23 |   95.83 | 65,86             
 shared            |   84.61 |    72.72 |      75 |   88.23 |                   
  ...-safety-kb.ts |   33.33 |    33.33 |   33.33 |   42.85 | 428-431           
 shared/utils      |   82.85 |    73.07 |   85.71 |   80.35 |                   
  encoding.ts      |   82.85 |    73.07 |   85.71 |   80.35 | 40,54-68,98-99    
